iteration,exploitability_for_42_outcome_sampling_MCCFR
1,5.04296875
2,4.911566840277775
3,4.902712673611103
5,4.954648036976121
6,4.926003800027407
7,4.921130728912118
10,4.5234869072408985
12,4.468357458214074
15,4.264613644875402
19,3.983113070541821
25,3.6921232227631506
31,3.5629904129144956
39,3.355661028664187
50,3.0898928246281834
63,3.0773537426980164
79,2.95970699546689
100,2.8008943939640027
125,2.734486454763534
158,2.6772927235077693
199,2.4712628775513834
251,2.3007990539781638
316,2.1372935582900507
398,2.024305254648988
501,1.9040281106655053
630,1.7724545252194648
794,1.672283630209729
1000,1.5654551346746797
1258,1.4078849817715609
1584,1.294979531114845
1995,1.1984104823117883
2511,1.1563016655214848
3162,1.0889066765995992
3981,1.002944248918663
5011,0.9222773287839262
6309,0.8255499530747531
7943,0.6651056152428494
10000,0.5648540947626992
12589,0.49215679884526814
15848,0.44138561668198534
19952,0.4189005909466572
25118,0.3773269774604167
31622,0.30713451610619374
39810,0.26009265173213325
50118,0.22443303523384725
63095,0.22784112195895503
79432,0.22339973099524685
100000,0.22657761260556497
125892,0.21440436599899348
158489,0.20030596784727073
199526,0.19954066695695194
251188,0.2042300020202611
316227,0.15308800790850824
398107,0.15202116720870212
501187,0.11665417510245901
630957,0.11454663097203845
794328,0.10445879976303661
1000000,0.07886204241297566
