iteration,exploitability_for_10_outcome_sampling_MCCFR
1,4.911480034722226
2,4.845724826388892
3,4.889398871527781
5,4.803276005497683
6,4.812558171778546
7,4.796216174374841
10,4.8497036256088295
12,4.894439938683306
15,4.773226693418787
19,4.703463893478133
25,4.229184772635107
31,3.8130704210339212
39,3.6235791945815325
50,3.445318910724015
63,3.234833905804686
79,2.9995905507178513
100,2.8150878195887636
125,2.7212175601990323
158,2.580523642243689
199,2.4444333495975914
251,2.325357937265926
316,2.2036973191709333
398,2.0991152826750836
501,1.989695581317914
630,1.7714654450754523
794,1.5845679989565582
1000,1.4809128006936771
1258,1.4082787331310767
1584,1.2974327366320981
1995,1.1731002673664968
2511,1.0729228971294629
3162,1.0136792194063746
3981,0.9103536954608046
5011,0.8006305024954798
6309,0.7127067114947783
7943,0.6339456001663192
10000,0.567413677555699
12589,0.5084463829713504
15848,0.49685327798625406
19952,0.4267217691339757
25118,0.39879219163820673
31622,0.3510902261674069
39810,0.3158159224217076
50118,0.27336233359606554
63095,0.24830467063726752
79432,0.21986925362776147
100000,0.19444001598799915
125892,0.17846803559629487
158489,0.17514195300311508
199526,0.16874892284188342
251188,0.14931022738476107
316227,0.15212407030597383
398107,0.15207323348958454
501187,0.1185513705445288
630957,0.11894801239227194
794328,0.11693559659645136
1000000,0.12287788262301358
