iteration,exploitability_for_1_outcome_sampling_MCCFR
1,5.15304904513888
2,5.15304904513888
3,5.0156358506944345
5,4.810963917540398
6,4.80969893932689
7,4.654755226078573
10,4.346162519735518
12,4.374424491962653
15,4.178324390423619
19,3.941077631690872
25,3.8577676411172037
31,3.7345416805621907
39,3.6657962169830354
50,3.5431079367125933
63,3.3836315116606035
79,3.4211889002323836
100,3.144188883105544
125,3.014065892154621
158,2.8723501653027115
199,2.7229505170039334
251,2.5517980459896683
316,2.455418800878052
398,2.3515390639529725
501,2.0422165556125673
630,1.913004758304388
794,1.7818251616514817
1000,1.6588407987148543
1258,1.571999178488863
1584,1.4202088001895548
1995,1.303346194029792
2511,1.1949228900643771
3162,1.129346454033142
3981,1.0224886957152104
5011,0.9323277263754977
6309,0.864262708896747
7943,0.8011684229199928
10000,0.7168099210454361
12589,0.6233054625558705
15848,0.552651390700796
19952,0.4325320507503876
25118,0.3477558055007097
31622,0.3177258843603108
39810,0.27236153592641665
50118,0.2666329497882674
63095,0.24942129086330564
79432,0.21325928246303583
100000,0.16588798358581927
125892,0.15698089069824214
158489,0.14951822178852522
199526,0.14659551258158832
251188,0.12259502801800959
316227,0.12443816817277106
398107,0.13384582405396142
501187,0.11978401748907891
630957,0.11121676735609087
794328,0.10388690933760876
1000000,0.09190082005355577
