iteration,exploitability_for_42_sql
0,4.9135128750169015
20,4.861435456745706
40,4.834798135933316
60,4.829789742008599
100,4.863912137030818
120,4.889799874095912
140,4.917572513803944
180,4.975098942191145
240,5.040121486292705
300,5.0661690793286365
380,5.066483717593349
500,5.03379084878546
620,5.026189841271806
780,4.954164369155505
1000,4.561257211134974
1240,3.8396812577952355
1580,2.620194867153066
1980,1.7779505292246354
2500,1.388728307648672
3160,1.1585528352946408
3980,0.9462246991188479
5000,0.8864877120249876
6300,0.7393396125413563
7940,0.7401424045664807
10000,0.7876952722302171
12580,0.7728984456647652
15840,0.7247674473844501
19940,0.7513120669282616
25100,1.0678694839172966
31620,1.1203350571742408
39800,1.0465891481471035
50100,0.816699934467028
63080,0.6386703280769814
79420,0.5272272584379526
100000,0.4036992519450146
125880,0.30821952756608706
158480,0.30294368833784857
199520,0.22260622711623745
251180,0.15638489985849555
316220,0.14612950242374068
398100,0.15900633208289472
501180,0.11063146052760142
630940,0.09960623544025071
794320,0.09598026026297493
1000000,0.09725897682276682
