iteration,exploitability_for_42_dqn
1,5.01080729166667
3,5.01080729166667
5,5.01080729166667
10,5.01080729166667
17,5.01080729166667
31,4.955871154980059
56,4.973913218508563
100,4.947251669276782
177,4.7876087395661004
316,4.531850890706023
562,4.143843780030503
1000,3.6778353061777693
1778,2.513613992218056
3162,1.2348515058722138
5623,0.8041719859648996
10000,0.563036048210141
17782,0.6257373092653404
31622,0.7561068653838289
56234,0.5559811398501162
100000,0.28771826974197806
177827,0.20258335354139462
316227,0.13937525489288788
562341,0.12037887604686848
1000000,0.10591419461604895
