iteration,exploitability_for_100_chance_sampling_CFR
1,5.01080729166667
2,4.858837890625001
3,4.83376916956019
5,4.464663809317134
6,4.365945999710652
7,4.360357711226857
10,3.9314001342845257
12,3.7862317829853525
15,3.199148895640438
19,2.705381822712381
25,2.4403141171545784
31,2.2882898798530813
39,1.8611728290333585
50,1.5287466871532676
63,1.3403019494999586
79,1.1726626692947286
100,1.0346675331918058
125,0.9459380294646729
158,0.8535680201161798
199,0.7487228920611301
251,0.6725978401807156
316,0.6124138829931048
398,0.5590599154809676
501,0.48613651390545287
630,0.44775711604550816
794,0.39785192782969137
1000,0.31991537831120104
1258,0.24798958374142324
1584,0.2083457857530503
1995,0.2230395451382985
2511,0.19606845058751415
3162,0.16100816417783032
3981,0.1364750607492452
5011,0.12047433115940741
6309,0.101760570938743
7943,0.08186930998327162
10000,0.06660800296916988
12589,0.061097570265534
15848,0.044688822154614324
19952,0.048525431167333155
25118,0.03470281482731504
31622,0.03264437635278222
39810,0.028801651958995183
50118,0.025288831886218936
63095,0.019303734366820726
79432,0.01858923244592927
100000,0.01566737618888016
125892,0.012786916898988119
158489,0.011324928626185286
199526,0.012477937579752012
251188,0.008639974856813497
316227,0.008716519871688245
398107,0.007388633570683204
501187,0.00509891568154798
630957,0.005141982303878877
794328,0.004702926689111847
1000000,0.004353659950162035
