iteration,exploitability_for_42_sql
1,5.01080729166667
3,5.01080729166667
5,5.01080729166667
10,5.01080729166667
17,5.01080729166667
31,4.955871154980059
56,4.973913218508563
100,4.947251669276782
177,4.7876087395661004
316,4.531850890706023
562,4.143843780030503
1000,3.6778353061777693
1778,2.513613992218056
3162,1.2213680932133686
5623,0.8176751508163527
10000,0.6059927169621525
17782,0.6497892568758488
31622,0.8286107065532144
56234,0.5794492266555449
100000,0.2814214173740809
177827,0.18483372661785635
316227,0.14343388238844043
562341,0.10116206564862545
1000000,0.08801365587958035
