iteration,exploitability_for_100_outcome_sampling_MCCFR
1,5.01080729166667
2,4.931597222222229
3,5.114378004807702
5,4.826969556051593
6,4.7808237227182575
7,4.900887676330003
10,4.88198018356841
12,4.569141788602277
15,4.423739448781801
19,4.254579949574437
25,4.177192180503094
31,4.017467749716782
39,3.8593360565755432
50,3.399016195651627
63,3.142329729022832
79,3.132533915863133
100,2.914394722511802
125,2.8302033085718525
158,2.5298199072797622
199,2.4055043672980654
251,2.181432298127
316,2.043409105942272
398,1.8747650843797143
501,1.7329163845617617
630,1.6214628775408455
794,1.5191710967618473
1000,1.4162631772193004
1258,1.3311958615111354
1584,1.2091015536341887
1995,1.1066272364069787
2511,1.040452481237439
3162,0.9341292001621271
3981,0.8379354757962068
5011,0.7633381321385196
6309,0.7343630699421733
7943,0.7072278022845611
10000,0.6361586386626297
12589,0.5701027893477659
15848,0.5354553127397819
19952,0.5091384559402508
25118,0.44480372094604426
31622,0.35833082856126797
39810,0.3125797335164981
50118,0.2836508946916501
63095,0.24588667496112318
79432,0.21490041713413444
100000,0.2069603960361564
125892,0.19304718797613957
158489,0.19089124157528828
199526,0.15621949748260852
251188,0.1532171380559645
316227,0.1311389256136654
398107,0.10954126426054232
501187,0.1036657127815494
630957,0.09908203795039264
794328,0.10465351141467884
1000000,0.10059105683182085
