iteration,exploitability_for_1_FSP
7,5.023792491855279
14,5.037438110853909
21,5.110075204689643
28,5.095309686856991
35,5.0933317794067205
49,5.270106524348422
63,5.133075180576991
77,5.0029352293917135
98,4.7598543434927985
119,4.572087505779384
154,4.283508539866511
196,4.046810397006562
245,3.8491278953811925
315,3.5712367409940735
392,3.4116273506312793
497,3.059447904684499
630,2.826821247705297
791,2.579567183453481
994,2.3595241664776094
1253,2.202949473787063
1582,2.0384593151466532
1995,1.897353394987462
2506,1.7410234378800973
3157,1.615243591957203
3976,1.487389928390906
5005,1.428313017981404
6307,1.3160193747769626
7938,1.1537364450346625
9996,1.0406625794020026
12586,0.9386900559228168
15848,0.7778448445191406
19950,0.6941703401763983
25116,0.6431909594508174
31619,0.6293623072203686
39809,0.6294527393970709
50113,0.6030531248603876
63091,0.5760625152371788
79429,0.5407670796592049
99995,0.5393056494727367
125888,0.5337846518234001
158487,0.5428384196591413
199521,0.49337191924551155
251188,0.46032686148922575
316225,0.41956022324232345
398104,0.39347555427592956
501186,0.3649467881445593
630952,0.3532463379397846
794325,0.3449403972349737
999999,0.34956440116983867
