iteration,exploitability_for_10_chance_sampling_CFR
1,5.01080729166667
2,4.954014756944453
3,4.954014756944453
5,4.6136257595486185
6,4.615968303915903
7,4.549757296446146
10,4.370739010514272
12,4.243027312316125
15,3.865003009504644
19,3.1215994187213814
25,2.8482583314873837
31,2.3995573752341883
39,2.1348888673094244
50,1.8533796434481569
63,1.6003999405366558
79,1.4100326811393018
100,1.1819054894582197
125,1.041717891660007
158,0.9170563377937856
199,0.799805273650193
251,0.7216355106926938
316,0.679563811516733
398,0.6117100022517836
501,0.5090091259965648
630,0.40451478449032885
794,0.31376202304906536
1000,0.26741575644466165
1258,0.21649034076508508
1584,0.1760377234613177
1995,0.15445250583110953
2511,0.15766570220262044
3162,0.12489997889925078
3981,0.11397216821294222
5011,0.09596088387531433
6309,0.0749368403079698
7943,0.056294328332541034
10000,0.06738172369669006
12589,0.053572680074229884
15848,0.06792424014793622
19952,0.051214495546180044
25118,0.04616349566327493
31622,0.033407616695778033
39810,0.026622356151033158
50118,0.024532625185984987
63095,0.022570744712730188
79432,0.01728103684783922
100000,0.014773100219052097
125892,0.010769576419940564
158489,0.009569361153212285
199526,0.006608389035923937
251188,0.006441145822319985
316227,0.005742323489210666
398107,0.006137616966139677
501187,0.00498941470012132
630957,0.004417693783613945
794328,0.0035327819737460513
1000000,0.0028524997996247324
