iteration,exploitability_for_10_sql
1,5.250112516075159
2,5.250112516075159
3,5.250112516075159
5,5.250112516075159
6,5.250112516075159
7,5.250112516075159
10,5.250112516075159
12,5.250112516075159
15,5.250112516075159
19,5.250112516075159
25,5.185300246162517
31,5.185300246162517
39,5.185300246162517
50,5.145411056371434
63,5.145411056371434
79,5.11732737524704
100,5.089748625917256
125,5.055941182098425
158,4.973169609375314
199,4.878912164672224
251,4.782047354664186
316,4.63981233139107
398,4.4762675208105565
501,4.308235233496486
630,4.20230663055728
794,4.03162801511489
1000,3.822565233255863
1258,3.4843788465824077
1584,2.827313388270943
1995,2.084111033719143
2511,1.5116159387212025
3162,1.3183591658777676
3981,1.141513430496831
5011,0.9692153843677616
6309,0.8032620769749927
7943,0.8447332828448231
10000,0.8707007017975179
12589,1.028605591997363
15848,0.9988210623011595
19952,1.2960360768067227
25118,1.360750511559829
31622,1.0359245253953544
39810,0.909512495076172
50118,0.7412660885510642
63095,0.597364345783043
79432,0.4620863629022222
100000,0.3325065479469682
125892,0.3006172601120912
158489,0.24703597446806472
199526,0.18208428574979385
251188,0.17938980156291606
316227,0.14068187930198242
398107,0.1202163871860894
501187,0.10236182560963814
630957,0.11635301244461686
794328,0.08177296795927232
1000000,0.0937416527075714
