iteration,exploitability_for_100_FSP
4,4.748611111111111
8,4.636574074074074
12,4.7
16,4.707407407407407
24,4.788379629629629
28,4.788333333333334
36,4.852063492063492
48,4.921164021164021
60,5.006031746031746
76,5.033331128747793
100,5.109319885361552
124,5.154192901234568
156,5.332474302103934
196,5.450248975567271
248,5.668608576486129
316,5.761577394147057
396,5.673958052627539
500,5.790887655598189
628,6.059787379899673
792,6.130392256091038
1000,6.046267702668047
1256,6.047417944676401
1584,6.0230623617828725
1992,6.10871943207825
2508,5.974159908519699
3160,5.398343739735436
3980,4.930655640795694
5008,4.370417144343099
6308,4.151399803355773
7940,3.8230951998499334
10000,3.3928330216713296
12588,3.019556328760224
15848,2.568584294771781
19952,2.450123992253742
25116,2.285493906716361
31620,2.150326964995381
39808,2.015814208648759
50116,1.7819151136261562
63092,1.5296255320668006
79432,1.3811665463325093
100000,1.3175628927412988
125892,1.2492645305434167
158488,1.1736753779740232
199524,1.0197847139370433
251188,0.9724271502877219
316224,0.8944028075389536
398104,0.858184046438015
501184,0.7591155516315016
630956,0.7038804554642902
794328,0.5928888372911982
1000000,0.5451622480600851
