iteration,exploitability_for_42_FSP
1,4.7820987654321
2,4.873996913580248
3,4.929166666666667
5,4.731898148148148
6,4.814228395061727
7,4.763564814814815
10,4.754523809523807
12,4.76297619047619
15,4.953715828924162
19,4.9540862911522625
25,4.976497625830959
31,4.975001504717114
39,4.973389762077671
50,5.019325738035112
63,4.959162094296407
79,5.228194830153341
100,5.649209577240068
125,6.161561634474215
158,5.849331186258961
199,5.832262401748239
251,5.672716341867716
316,5.469958917609293
398,5.540945652335486
501,5.705212165005943
630,5.619053489228355
794,5.616457271382298
1000,5.342068645307595
1258,5.192829972110935
1584,5.141518399453711
1995,4.769052463574495
2511,4.525676325500859
3162,3.9347583707229505
3981,3.260588020276943
5011,2.8337443629165415
6309,2.45813341806199
7943,2.1611470496596445
10000,1.8652606928664253
12589,1.7753372899481432
15848,1.6622557034508234
19952,1.346637430941959
25118,1.1641611662296292
31622,1.0928758877291993
39810,1.0977012568762436
50118,1.027929288843011
63095,0.9847042367762815
79432,0.9263921538433417
100000,0.8659739673892493
125892,0.8457791672018439
158489,0.7787615592879913
199526,0.69793777913618
251188,0.6207919507078126
316227,0.5720364638876952
398107,0.5574855145981165
501187,0.532717266802038
630957,0.5126958809525362
794328,0.4949322978948316
1000000,0.47739906930554765
