iteration,exploitability_for_1_outcome_sampling_MCCFR
1,4.747222222222224
2,4.8993055555555545
3,4.8062499999999995
5,5.177430555555556
6,5.170023148148149
7,5.103779761904763
10,5.204435138888889
12,5.204435138888889
15,5.186519620970822
19,5.298664553167833
25,5.365207909386006
31,5.573509744633306
39,5.724455925651855
50,5.939786451872264
63,6.059202895523613
79,6.0683573426353075
100,6.065467105717367
125,5.802128316982255
158,5.375587527128972
199,5.538365728564345
251,5.492420736893806
316,5.577712888063049
398,5.6904888606016115
501,5.624060234930323
630,5.2905455088168
794,4.973018500217586
1000,5.0937612256548075
1258,4.627461358726846
1584,4.363045943651301
1995,3.707293371823951
2511,3.58201342121399
3162,2.981616560815291
3981,2.7361715413123564
5011,2.572176218096731
6309,2.33629751370559
7943,2.1181658271172576
10000,1.9084415223353626
12589,1.7354131465124794
15848,1.6089674781224683
19952,1.469532314201604
25118,1.3109542341140092
31622,1.244789177229876
39810,1.1636590543720966
50118,1.103960982221859
63095,0.9375625324613208
79432,0.9205011101469869
100000,0.9047471132979915
125892,0.9516540077446357
158489,0.9038336452251883
199526,0.711913400181162
251188,0.5932653959021696
316227,0.5869373976818038
398107,0.6411780698042502
501187,0.6563894934227286
630957,0.754210296363739
794328,0.5662432009337919
1000000,0.599768135256931
