iteration,exploitability_for_100_outcome_sampling_MCCFR
1,4.930092592592591
2,4.930092592592591
3,4.930092592592591
5,5.017824074074074
6,4.950138888888889
7,4.952824074074074
10,4.963597883597884
12,4.963597883597884
15,4.922341196697703
19,5.3172169741263025
25,5.161216760592529
31,5.1016567525351535
39,5.3301690600073695
50,5.175041188945768
63,5.138656960550262
79,5.1299037576114905
100,4.925427680786147
125,5.126470844988269
158,4.657423530719859
199,4.739347408952508
251,4.856468421241094
316,4.892501279881024
398,5.144407538332584
501,4.927903551259375
630,4.792245231097164
794,4.736917973196981
1000,4.518549748016035
1258,4.244369031468302
1584,4.148249834103156
1995,3.986061931759055
2511,3.897669533240756
3162,3.912030449931355
3981,3.4495130587295404
5011,2.939113308185501
6309,2.5092948906644383
7943,2.3798515479958837
10000,2.040497200662466
12589,1.9276427380402605
15848,1.7459369951900727
19952,1.4923130383804901
25118,1.3476459832956613
31622,1.3903487258353555
39810,1.468912918163563
50118,1.340352926038571
63095,1.2792958949310211
79432,1.093564857946058
100000,1.0874620037363791
125892,1.1298592950202084
158489,0.8304174636757369
199526,0.723536103114848
251188,0.6291794899905988
316227,0.6484374444405527
398107,0.6977092042865684
501187,0.7169862393794306
630957,0.5469793205889713
794328,0.4927989162247457
1000000,0.4420645980614444
