iteration,exploitability_for_10_dqn
1,4.744478672651638
2,4.744478672651638
3,4.744478672651638
5,4.744478672651638
6,4.744478672651638
7,4.744478672651638
10,4.744478672651638
12,4.744478672651638
15,4.744478672651638
19,4.744478672651638
25,4.744478672651638
31,4.744478672651638
39,4.65633047866807
50,4.65633047866807
63,4.65633047866807
79,4.613630529104389
100,4.592084633217239
125,4.585169206720099
158,4.589952237332016
199,4.604541436627416
251,4.645055554216142
316,4.6898898381742615
398,4.734804219164945
501,4.802030216703148
630,4.760793971982931
794,4.665619471773376
1000,4.434173109717234
1258,4.226972445434123
1584,4.388608869800548
1995,4.393598453840022
2511,4.459030627195284
3162,4.378509701983255
3981,4.231719794921609
5011,4.064985987369997
6309,3.805165873258037
7943,3.688573179279954
10000,3.3889964303622837
12589,2.8657796694099256
15848,2.4971163058701835
19952,2.0609694374160163
25118,1.8902284682055024
31622,1.789211112025803
39810,1.7361184628676083
50118,1.6367237553381369
63095,1.52937830855935
79432,1.5191771619651435
100000,1.446459225592299
125892,1.3783963082197537
158489,1.718094764911771
199526,1.76139578394007
251188,1.5409826969458476
316227,1.4538276707490043
398107,1.289119810900114
501187,1.2964869891522852
630957,1.1804897604180669
794328,0.930983176536521
1000000,0.8606979932157988
