iteration,exploitability_for_100_chance_sampling_CFR
1,4.747222222222224
2,5.09513888888889
3,4.941919996834066
5,5.082590034026071
6,5.0652588275528085
7,4.889011816734152
10,4.862712234478581
12,4.834123391909907
15,4.875461471289354
19,4.690206326773879
25,4.666486914604272
31,4.692235373431281
39,4.734606992181219
50,4.312590314772258
63,3.853323542579255
79,3.8651884724908956
100,3.5371531337692703
125,3.00266734469073
158,2.6126426485814513
199,2.2336935897133037
251,1.844224690925047
316,1.5855183664154093
398,1.2752562898968338
501,1.1423802093130089
630,0.908876397536166
794,0.7930834203162576
1000,0.7065312185910493
1258,0.5635827490695546
1584,0.5023091639003823
1995,0.4314962335405782
2511,0.4712373120213005
3162,0.35361155547911766
3981,0.25731376386939314
5011,0.22438198866020553
6309,0.18673867274689887
7943,0.2014870242816678
10000,0.1463012972271331
12589,0.14055095544387133
15848,0.11830173260604256
19952,0.08904616160758631
25118,0.10219297386657916
31622,0.07847519849810516
39810,0.06701957206303605
50118,0.06202980747703648
63095,0.05532941385548365
79432,0.0526419592819216
100000,0.04923009353586298
125892,0.04565024627083304
158489,0.03702388706596539
199526,0.03330823495517318
251188,0.030447432688371828
316227,0.027389930821883762
398107,0.02283951289909328
501187,0.024019991222875403
630957,0.026252168840638315
794328,0.01775654074102466
1000000,0.015376843042820318
