iteration,exploitability_for_100_sql
0,0.8188839689824807
40,0.8229508850496424
80,0.8263635131319281
120,0.8312266091186148
160,0.836896531133327
240,0.8474376003212545
280,0.851437871025108
360,0.8563045448238777
480,0.8561102024478455
600,0.8506461592191403
760,0.8371933284831868
1000,0.8003082381381261
1240,0.7479027555838733
1560,0.6677506524169393
1960,0.5358390246865852
2480,0.43523799323924744
3160,0.3742976259947968
3960,0.31702984629159126
5000,0.29838876885306254
6280,0.2828431759792214
7920,0.28025201951494827
10000,0.2658550467860328
12560,0.2825079795636183
15840,0.3323375829966385
19920,0.4107251132077603
25080,0.43646262308148254
31600,0.4729680072892652
39800,0.3596868594201578
50080,0.28722083273468935
63080,0.22294244319760495
79400,0.16044388463332646
100000,0.14434748592844
125880,0.09543122796299391
158480,0.07325951006748788
199520,0.06439495233562731
251160,0.03747966644413306
316200,0.029190562464719766
398080,0.03387606567506912
501160,0.028564339608602385
630920,0.03567211563380501
794320,0.02594305519440998
1000000,0.026201459255687065
