iteration,exploitability_for_10_outcome_sampling_MCCFR
1,0.9166666666666665
2,0.9166666666666665
3,0.9166666666666667
5,0.8166666666666667
6,0.8444444444444444
7,0.5545634920634921
10,0.5350905478829774
12,0.5258312886237182
15,0.43049095607235144
19,0.4202570379436965
25,0.35337790071942077
31,0.3583700572298568
39,0.39828445642927157
50,0.43141366721039814
63,0.4488116586444153
79,0.45131578331482103
100,0.4380052937630644
125,0.42218625581311825
158,0.3484627455205911
199,0.2711855068208401
251,0.24914809599816104
316,0.24426454525306565
398,0.29616900492983567
501,0.34379132254432027
630,0.3601582502147453
794,0.34688269728806914
1000,0.31741844426188676
1258,0.24082864313089464
1584,0.18143556432480623
1995,0.1435149576323934
2511,0.1312445621154095
3162,0.1712800083506366
3981,0.1536634573741587
5011,0.1537507691657425
6309,0.14558510322825774
7943,0.08956923779437548
10000,0.05428283338347259
12589,0.09700791472452597
15848,0.09352236793673058
19952,0.07032280587322315
25118,0.06594289308820431
31622,0.12450118195175613
39810,0.06006126600329634
50118,0.08520958216529803
63095,0.07229957307909984
79432,0.06070952409985364
100000,0.05900807456688603
125892,0.060314225687737255
158489,0.07276936332461548
199526,0.06690169119981351
251188,0.05940789619631873
316227,0.05840947845562047
398107,0.05138603880534015
501187,0.05174606934904369
630957,0.05898271470136132
794328,0.048595890046837065
1000000,0.04598511641831479
