iteration,exploitability_for_42_sql
1,0.9166666666666665
2,0.9166666666666665
3,0.9166666666666665
5,0.9166666666666665
6,0.9166666666666665
7,0.9166666666666665
10,0.9166666666666665
12,0.9166666666666665
15,0.9166666666666665
19,0.9166666666666665
25,0.9166666666666665
31,0.9166666666666665
39,0.9166666666666665
50,0.9166666666666665
63,0.9023536551130533
79,0.9023536551130533
100,0.9023536551130533
125,0.9053141364329456
158,0.9053141364329456
199,0.9035843644605
251,0.8987614162611633
316,0.8915387385435469
398,0.8733276090946789
501,0.8626267437730359
630,0.8281550198172618
794,0.8043485606954743
1000,0.7579174527211876
1258,0.7008581276962631
1584,0.6540889051380532
1995,0.6278032100465349
2511,0.5964558663214442
3162,0.5580421608912017
3981,0.5022429283836409
5011,0.4069547053470319
6309,0.3035712434156644
7943,0.31907832408526693
10000,0.3281017060602375
12589,0.3180066927541899
15848,0.27951824081965815
19952,0.27322824957539665
25118,0.3066806994135922
31622,0.3563136224071676
39810,0.4301695686587387
50118,0.44685790773984485
63095,0.4228719001416394
79432,0.3125583022831241
100000,0.2639235754925384
125892,0.1753326648875709
158489,0.13729922365398037
199526,0.08377653885542152
251188,0.05810458787279796
316227,0.04933808779929294
398107,0.039513406740752266
501187,0.041686064859394495
630957,0.029009434325375727
794328,0.026151433424247167
1000000,0.013695886562245574
