iteration,exploitability_for_100_outcome_sampling_MCCFR
1,0.75
2,0.8333333333333333
3,0.8333333333333333
5,0.8416666666666667
6,0.8171511627906977
7,0.8171511627906977
10,0.5287467700258398
12,0.5289304247549491
15,0.5621032053892526
19,0.5652625114075346
25,0.5868340591828731
31,0.5076263621893091
39,0.4261398437817479
50,0.38599530980853947
63,0.4070205016965963
79,0.42614488610637435
100,0.3755515828294725
125,0.33708529457366576
158,0.30812447968587653
199,0.2743093273889736
251,0.24908745926167228
316,0.25148802902685397
398,0.2509572417813325
501,0.2452163159241684
630,0.22726067811098197
794,0.19898382182647056
1000,0.22057910158349128
1258,0.24443854204823168
1584,0.22493549258763287
1995,0.21480418179889652
2511,0.22135521844432557
3162,0.19387038238464083
3981,0.22484015009909755
5011,0.17923740429776377
6309,0.12606675970328715
7943,0.12411103119204595
10000,0.12204711961867826
12589,0.09919606817411358
15848,0.1343652863671801
19952,0.08589274377393621
25118,0.15760327936430502
31622,0.08029031263984293
39810,0.07019577475416566
50118,0.07615229426604264
63095,0.039966475636945886
79432,0.09068333139817489
100000,0.04125136752161218
125892,0.05608201968361423
158489,0.04691901396937939
199526,0.05072133269109305
251188,0.052586602343602434
316227,0.0414004356401049
398107,0.038199801815217954
501187,0.03754913634124604
630957,0.042439252418544265
794328,0.04224502576479361
1000000,0.044468587347893634
