iteration,exploitability_for_10_FSP
4,0.9444444444444442
8,0.9166666666666665
12,0.7222222222222221
16,0.6666666666666665
24,0.861111111111111
28,0.8583333333333334
36,0.8444444444444443
48,0.9535714285714285
60,0.9257936507936507
76,0.98505291005291
100,0.8787915787915788
124,0.7287457912457911
156,0.7006907308377897
196,0.7042670292670292
248,0.7136881092763446
316,0.7748490192934638
396,0.8117206187059128
500,0.8341517530376226
628,0.7888449714536672
792,0.7287697384984848
1000,0.6738752180300259
1256,0.6350661040455379
1584,0.639923266565414
1992,0.6202946512642655
2508,0.5298056246761885
3160,0.48203327698214815
3980,0.4524032652485307
5008,0.40368947459149956
6308,0.37614427943222534
7940,0.37355102521282335
10000,0.3443274340880672
12588,0.2575252252757959
15848,0.19321418788548034
19952,0.17912685413152915
25116,0.13935192368964203
31620,0.14374260146363477
39808,0.12044289322525611
50116,0.09506553880864585
63092,0.06710291989322917
79432,0.06233745575621605
100000,0.06161060275496483
125892,0.06624378728973251
158488,0.06950338533499878
199524,0.07302446288891634
251188,0.06208980867104508
316224,0.058776221827698594
398104,0.05980706893036514
501184,0.0543315913391067
630956,0.037403952497162746
794328,0.031045761468500882
1000000,0.03980251291779721
