iteration,exploitability_for_1_FSP
4,0.8888888888888888
8,0.8888888888888888
12,0.8379629629629629
16,0.7740740740740741
24,0.8888888888888888
28,0.8666666666666668
36,0.7999999999999999
48,0.5817460317460319
60,0.5191798941798942
76,0.511904761904762
100,0.5189814814814815
124,0.4507020757020757
156,0.4093050468050468
196,0.4015294312169312
248,0.3694177357463361
316,0.3899917475407672
396,0.42150336380886655
500,0.39180383674090763
628,0.36262254712014624
792,0.2851843712494775
1000,0.25442906898614287
1256,0.2425949129997106
1584,0.266580005244176
1992,0.26167569944026614
2508,0.24872080516650652
3160,0.21607832426312779
3980,0.198045296761836
5008,0.1873030509852464
6308,0.2189732616684191
7940,0.2300051464843959
10000,0.18698426196386153
12588,0.17483601349623742
15848,0.16932082315100308
19952,0.1509288220366723
25116,0.12131218168140401
31620,0.08535688854678766
39808,0.07066679331227482
50116,0.06238593648951338
63092,0.057064710875039254
79432,0.05194616724705628
100000,0.04968479843218973
125892,0.03902276398072449
158488,0.04156560826456823
199524,0.052165990511748
251188,0.051940958499408024
316224,0.04172423545178319
398104,0.03466780300888492
501184,0.03520380827039252
630956,0.03517076449591883
794328,0.0360921336664102
1000000,0.038144864844290305
