iteration,exploitability_for_100_chance_sampling_CFR
1,0.9166666666666665
2,0.9166666666666665
3,0.7916666666666665
5,0.7708333333333333
6,0.7604166666666665
7,0.5466666666666665
10,0.5136904761904761
12,0.5074404761904762
15,0.5133136836254167
19,0.3752184455301784
25,0.3176809625879755
31,0.27024843978059726
39,0.21627495422882145
50,0.2076807095576081
63,0.24449441187202242
79,0.22487573933124394
100,0.21097952402007894
125,0.23051068604192357
158,0.1851517866960608
199,0.11855275419256425
251,0.11576981463480612
316,0.08129927356924785
398,0.06894722570048065
501,0.059151146281129635
630,0.046725238879904846
794,0.03627974626563671
1000,0.033496942696005394
1258,0.04769512616475846
1584,0.02645467850219807
1995,0.03525452481252955
2511,0.02974306565119489
3162,0.024179510068589677
3981,0.015608828240208844
5011,0.019913557915428537
6309,0.017887615429885623
7943,0.013981932670187325
10000,0.016253198741947472
12589,0.011708088840387126
15848,0.014040835757650638
19952,0.0140687099489617
25118,0.006213001109983685
31622,0.00967216374232166
39810,0.009295830451262116
50118,0.003543871565670542
63095,0.005294271338829426
79432,0.004424085321598936
100000,0.006226651239158942
125892,0.0041736404207979305
158489,0.002947208370137566
199526,0.0052657621013690314
251188,0.0018748255928877078
316227,0.0019651882228627626
398107,0.0031726967685063723
501187,0.0015425387905278753
630957,0.0016553882096220218
794328,0.0020296449778125503
1000000,0.0014833166814716137
