iteration,exploitability_for_1_dqn
1,0.9252992863284428
2,0.9252992863284428
3,0.9252992863284428
5,0.9252992863284428
6,0.9252992863284428
7,0.9252992863284428
10,0.9252992863284428
12,0.9252992863284428
15,0.9252992863284428
19,0.9252992863284428
25,0.9252992863284428
31,0.9252992863284428
39,0.9252992863284428
50,0.9252992863284428
63,0.9109716393589895
79,0.9109716393589895
100,0.9109716393589895
125,0.8968022059524632
158,0.8968022059524632
199,0.8823207942274067
251,0.8679245699165061
316,0.8536272954417617
398,0.8394047826133086
501,0.8117853119222076
630,0.7851614633085227
794,0.7471388368055543
1000,0.7017369527720696
1258,0.6625078122157646
1584,0.6321924703698312
1995,0.6052803728944316
2511,0.5668266023633577
3162,0.5132006401475362
3981,0.4260845312041201
5011,0.30639992990345694
6309,0.2744579644068086
7943,0.29693594004087154
10000,0.30647592247099364
12589,0.3016601134952323
15848,0.28528505199523085
19952,0.30551190677174667
25118,0.32953158855445464
31622,0.36472882171673493
39810,0.4191603811539499
50118,0.4060480987849907
63095,0.37981687043742923
79432,0.3342092181494095
100000,0.24700384992349084
125892,0.18866206088834678
158489,0.14339170298389153
199526,0.11744525305522802
251188,0.08156812701698682
316227,0.04764881005132751
398107,0.03617720574315808
501187,0.03897956422508769
630957,0.03291820773680326
794328,0.019579271139574472
1000000,0.02511822660809024
