iteration,exploitability_for_100_FSP
4,0.9537037037037035
8,0.9259259259259258
12,0.9814814814814814
16,0.9481481481481481
24,0.8925925925925925
28,0.9277777777777778
36,0.9111111111111109
48,0.873015873015873
60,0.6124999999999998
76,0.6011111111111112
100,0.5730699855699857
124,0.5942460317460317
156,0.5094757094757095
196,0.4578174603174602
248,0.4348672161172161
316,0.391156011074492
396,0.35248159650333566
500,0.37343795642260735
628,0.2917178222316067
792,0.2553760412795739
1000,0.24230417994108913
1256,0.26150713143769655
1584,0.2779511701299006
1992,0.2754859338913297
2508,0.24806615882941582
3160,0.21909695248283695
3980,0.21388254019182606
5008,0.1744211360220211
6308,0.17042364955573827
7940,0.1640004782416909
10000,0.13203952102965807
12588,0.13750046474403207
15848,0.1345911512458045
19952,0.10426189503223851
25116,0.1185157107760306
31620,0.12452540251446506
39808,0.0916013938825059
50116,0.07113519592661025
63092,0.06969547614133126
79432,0.08729754695125469
100000,0.08003910130785927
125892,0.0660893175072482
158488,0.047150601406115905
199524,0.04784540968548967
251188,0.031611180847051
316224,0.029418269065064395
398104,0.03693297943240054
501184,0.03464844639358894
630956,0.03809453916580982
794328,0.038560449395844854
1000000,0.03313462775100584
