iteration,exploitability_for_seed42_alpha1.0_False
1,0.9166666666666665
3,0.9166666666666665
5,0.9166666666666665
10,0.9166666666666665
17,0.9166666666666665
31,0.9166666666666665
56,0.9023536551130533
100,0.9023536551130533
177,0.9035843644605
316,0.8915387385435469
562,0.8515623559723053
1000,0.7590218569521479
