iteration,exploitability_for_100_chance_sampling_CFR
1,2.0625
2,1.8333333333333335
3,1.7630208333333335
5,1.5452835648148149
6,1.2786458333333337
7,1.3029513888888888
10,1.167765090811966
12,1.1410296156389907
15,1.0872233755827507
19,0.997469333774067
25,0.765098605977143
31,0.6364697748016646
39,0.48868854020684377
50,0.3621198875257329
63,0.2549957226746278
79,0.23194517866992903
100,0.2927902116893534
125,0.2863804278973331
158,0.25503954398258943
199,0.2973665974478431
251,0.3004114370850934
316,0.27672758547750875
398,0.21521249376625876
501,0.1441016950782178
630,0.12504299882890843
794,0.12868047025923443
1000,0.14044445544268433
1258,0.10099729986540783
1584,0.07450802874138747
1995,0.07458724950817344
2511,0.07196730380902604
3162,0.09560462035199419
3981,0.06199234481574602
5011,0.05205584098204273
6309,0.034037328410127424
7943,0.04874987730640047
10000,0.02253805411157514
12589,0.025686435630533695
15848,0.022419420263578738
19952,0.014613381867741311
25118,0.009521087510835385
31622,0.009004983596231857
39810,0.012840280316281101
50118,0.008256514418556002
63095,0.0064554947169370505
79432,0.008889911564085223
100000,0.006329777905894202
125892,0.006169933319506396
158489,0.004914980958114372
199526,0.004006892320391517
251188,0.0028842830899510133
316227,0.002786612167410732
398107,0.0025419097711918068
501187,0.0027160074187295505
630957,0.0025299871310326474
794328,0.0035956084448869677
1000000,0.004053400982934968
