iteration,exploitability_for_42_sql
1,2.0625
2,2.0625
3,2.0625
5,2.0625
6,2.0625
7,2.0625
10,2.0625
12,2.0625
15,2.0625
19,2.0625
25,2.0625
31,2.0625
39,2.010113778841405
50,2.010113778841405
63,2.010113778841405
79,1.9980589356654037
100,1.9980589356654037
125,1.9851896179597723
158,1.9722342071600687
199,1.9590834302268307
251,1.9458371155540233
316,1.919177607370679
398,1.892125196564878
501,1.8511241392984426
630,1.7951528529585636
794,1.7435276650911051
1000,1.6905028262516364
1258,1.6352719173808652
1584,1.5664757613800817
1995,1.4417760636822718
2511,1.2411922473818984
3162,0.9085735688994414
3981,0.6196038701466998
5011,0.4547462732245738
6309,0.4314125623952019
7943,0.4341212079277654
10000,0.4181847500436384
12589,0.37067449654038587
15848,0.3709149982786518
19952,0.5037730164757017
25118,0.6455648137674774
31622,0.6743938749870559
39810,0.6893633525738323
50118,0.6188057563128877
63095,0.5031389573922431
79432,0.3153993107263206
100000,0.30886917881931736
125892,0.24973831395823193
158489,0.16134252977417
199526,0.13249895843355408
251188,0.10089927218739049
316227,0.08567760914560774
398107,0.0616236570983937
501187,0.0630410997847251
630957,0.04793390671530301
794328,0.04019346848452325
1000000,0.061449030256524026
