iteration,exploitability_for_10_sql
0,2.081190466960475
28,2.1125085026442227
56,2.1451875374752545
84,2.1788536366977143
112,2.2113096833268644
140,2.2409466172920514
196,2.284157550114358
224,2.2960714711845567
308,2.3015084958000873
392,2.270665843784055
476,2.213568807719085
616,2.0947446754736943
784,1.9197218056881842
980,1.7548316373842425
1232,1.5738613205633463
1568,1.319745133945815
1988,1.0574338797530747
2492,0.8550334096044534
3136,0.7471396407571999
3976,0.6572601464169148
4984,0.5945361355639714
6300,0.5332686009219291
7924,0.4540977251792544
9996,0.35149917279240483
12572,0.33762873303305607
15848,0.3239474628816198
19936,0.42584794065922416
25116,0.45938952785737025
31612,0.6646486205289375
39788,0.5490236259540047
50092,0.4355832935610077
63084,0.34170342496995587
79408,0.2699310923303658
99988,0.21835674578538458
125888,0.17155979352690612
158480,0.13587638255661177
199500,0.09678896078191912
251188,0.07839517004595378
316204,0.06331507033299073
398104,0.06213254693816314
501172,0.05981047236622894
630952,0.05383357852524524
794304,0.04545197762999576
999992,0.03676347289394728
