iteration,exploitability_for_42_sql
1,2.0625
2,2.0625
3,2.0625
5,2.0625
6,2.0625
7,2.0625
10,2.0625
12,2.0625
15,2.0625
19,2.0625
25,2.0625
31,2.0625
39,2.010113778841405
50,2.010113778841405
63,2.010113778841405
79,1.9980589356654037
100,1.9980589356654037
125,1.9850469507265314
158,1.9719175886849931
199,1.9586045495866418
251,1.9452663665525158
316,1.9184378126243695
398,1.891382630749793
501,1.8502340715627097
630,1.79411044686701
794,1.7439196612323025
1000,1.6911280794247252
1258,1.6339108421563084
1584,1.563481854772247
1995,1.4564290837408702
2511,1.2511815288553256
3162,0.9283771990332745
3981,0.5839311293686903
5011,0.4526472990615574
6309,0.4459648183056314
7943,0.4509317089252825
10000,0.4419722515858625
12589,0.35961701399130563
15848,0.3614339414024292
19952,0.4214028542879298
25118,0.6186452805144247
31622,0.7194445937032266
39810,0.8157363362413723
50118,0.6781557824083875
63095,0.5787782548216343
79432,0.4456433266457215
100000,0.3435129977570292
125892,0.2635899072559085
158489,0.25555471136553715
199526,0.18026037649862767
251188,0.1166551955229684
316227,0.08776260953941242
398107,0.07297536434793715
501187,0.07327146201589317
630957,0.052218660750858466
794328,0.04191903106342813
1000000,0.04004058109042064
