iteration,exploitability_for_42_outcome_sampling_MCCFR
1,2.0625
2,2.12890625
3,2.1414930555555554
5,1.8370535714285712
6,1.7681107954545456
7,1.7316524621212122
10,1.5851934958925094
12,1.5798592159214517
15,1.75116732928802
19,1.7104926315136177
25,1.4045736449717034
31,1.3441552190991621
39,1.2858690180095014
50,1.2409933867449698
63,1.1221146959538497
79,0.9528016364780771
100,0.9315109429549773
125,0.8371729523863676
158,0.7690708449625897
199,0.7135552507160511
251,0.6731623761298509
316,0.6074098171316751
398,0.5829233768916238
501,0.5381301899277573
630,0.4582467300192816
794,0.3587757582536707
1000,0.3251242571551327
1258,0.3239812946636017
1584,0.32936566794457445
1995,0.33757101116260035
2511,0.29374859554612065
3162,0.24926489331396176
3981,0.2115012707589943
5011,0.19528200266042306
6309,0.15568058701696866
7943,0.1401031276215789
10000,0.1308869653647451
12589,0.10559703994199543
15848,0.07191394980447798
19952,0.06784546323134816
25118,0.07595522455250021
31622,0.055812940700731256
39810,0.06417836490942963
50118,0.027120286649766706
63095,0.03904144254421817
79432,0.029567524755878392
100000,0.02034824651956825
125892,0.021318408745747877
158489,0.01966924536904198
199526,0.019940855309341428
251188,0.015356013219387184
316227,0.01472790756880065
398107,0.01512843147536782
501187,0.021013286937909242
630957,0.014906667020817103
794328,0.016197164750312062
1000000,0.012715542365382866
