iteration,exploitability_for_10_dqn
1,2.081190466960475
2,2.081190466960475
3,2.081190466960475
5,2.081190466960475
6,2.081190466960475
7,2.081190466960475
10,2.081190466960475
12,2.081190466960475
15,2.081190466960475
19,2.081190466960475
25,2.081190466960475
31,2.081190466960475
39,2.095014726706774
50,2.095014726706774
63,2.095014726706774
79,2.090387959005925
100,2.090387959005925
125,2.075054016914633
158,2.05463837001386
199,2.038130442537242
251,2.0253000911759065
316,1.9977288921262502
398,1.9694352598493676
501,1.9272669679364194
630,1.872225919345154
794,1.818262902267097
1000,1.738301212705656
1258,1.6507721893407665
1584,1.5559772005390125
1995,1.4327687284010107
2511,1.2540516113491251
3162,1.004078587548157
3981,0.7787633937263283
5011,0.6016141242322454
6309,0.5727162020960632
7943,0.5152982819133443
10000,0.4312779667323675
12589,0.39369195708525034
15848,0.34009765319613494
19952,0.40266526726561985
25118,0.44899835404721333
31622,0.5959029773721122
39810,0.5546121846803578
50118,0.49479448109949964
63095,0.398501465901832
79432,0.3129281522267941
100000,0.25556919940032663
125892,0.1880155015136089
158489,0.15823899066984587
199526,0.10535676296193383
251188,0.1024311303980396
316227,0.07679464874925065
398107,0.062302637236691924
501187,0.07974519388120772
630957,0.05318472449336719
794328,0.056543385677812426
1000000,0.05864180174000034
