iteration,exploitability_for_100_FSP
5,1.9887152777777777
10,2.028935185185185
15,1.8943865740740737
25,2.0104488168724277
30,2.0396412037037033
35,2.0520833333333335
50,2.0594791666666667
60,2.0220196759259257
75,1.9209534832451496
100,1.5352657903439155
125,1.3131949365394306
155,1.2202212387480245
195,1.1815256769795464
250,1.0470575442748946
315,0.9021406317543741
395,0.8152768478170458
500,0.7731115021087176
630,0.7206973737038406
790,0.6573066635675834
1000,0.5891223037234967
1255,0.5583842729889165
1580,0.4796107664002256
1995,0.4947125603704779
2510,0.5145494483928035
3160,0.5350599404599776
3980,0.642571810005977
5010,0.7055060027381208
6305,0.6649362213244074
7940,0.5484603769445416
10000,0.46502602539033694
12585,0.4358578706803742
15845,0.33029684778819507
19950,0.26629206125808536
25115,0.26522098160532126
31620,0.262260259077485
39810,0.23723599329002545
50115,0.20010629945492694
63095,0.16162379645378533
79430,0.13479426635816533
100000,0.13441305594405178
125890,0.12558150526502806
158485,0.10138878422281722
199525,0.08352971097231902
251185,0.07988443767333042
316225,0.08274015976081957
398105,0.09411484326353582
501185,0.08937379899401128
630955,0.08643572522917829
794325,0.0822192284640336
1000000,0.07644921760965609
