iteration,exploitability_for_42_dqn
1,2.0625
3,2.0625
5,2.0625
10,2.0625
17,2.0625
31,2.0625
56,2.010113778841405
100,1.9980589356654037
177,1.9719175886849931
316,1.9184378126243695
562,1.8221615685354884
1000,1.6911280794247252
1778,1.5174618416527452
3162,0.9347491544810709
5623,0.45511300560832263
10000,0.4453623853062229
17782,0.41332670474944333
31622,0.6387771938229887
56234,0.7089099853440881
100000,0.3404049436042137
177827,0.19022306514517512
316227,0.07009220414597159
562341,0.07071053876393539
1000000,0.04720894210638621
