iteration,exploitability_for_1_outcome_sampling_MCCFR
1,1.8098958333333333
2,1.8828124999999998
3,2.0598958333333326
5,1.4453125000000002
6,1.3862847222222223
7,1.2573164682539684
10,1.2596130680433726
12,1.2272349088791132
15,1.1645789257356993
19,1.1554245222920514
25,1.0668602488039252
31,0.7956889739535973
39,0.8272547902863027
50,0.768210484914978
63,0.771025932494463
79,0.7932448103009255
100,0.8362360447236166
125,0.8633050646485182
158,0.8399851340306833
199,0.7102318623818812
251,0.6613439954947173
316,0.6024728555551148
398,0.5669654618917429
501,0.5257285836362899
630,0.472013048552852
794,0.4209138016205214
1000,0.3801472961514447
1258,0.3844206890890847
1584,0.45080072114512
1995,0.41874704740310514
2511,0.3799461400327709
3162,0.3307379525426658
3981,0.27127715115554574
5011,0.23383591506787887
6309,0.20023878252694186
7943,0.1750691633821191
10000,0.09793380720940233
12589,0.09969175700094669
15848,0.096043715397882
19952,0.07580344370026107
25118,0.07596052468671977
31622,0.048582517022971
39810,0.07771560194325292
50118,0.050833329661154905
63095,0.0344122314351668
79432,0.04491057986285408
100000,0.04594511167912127
125892,0.028444150657796347
158489,0.023477320251309414
199526,0.017416554947619997
251188,0.02102371490805681
316227,0.013254988219003422
398107,0.010216719687599116
501187,0.010153884472149252
630957,0.008146938379803265
794328,0.013277056018192145
1000000,0.007880085227536103
