iteration,exploitability_for_100_sql
1,2.000301694135765
2,2.000301694135765
3,2.000301694135765
5,2.000301694135765
6,2.000301694135765
7,2.000301694135765
10,2.000301694135765
12,2.000301694135765
15,2.000301694135765
19,2.000301694135765
25,2.000301694135765
31,2.000301694135765
39,2.000301694135765
50,1.9931481371275066
63,1.9931481371275066
79,1.981885411305091
100,1.981885411305091
125,1.968801684284462
158,1.9574002731653652
199,1.9485644811679026
251,1.9443272857314273
316,1.944480372069747
398,1.9497453658384396
501,1.9617672663580015
630,1.98254143775425
794,2.0007486656879134
1000,2.0262112081729127
1258,2.04636519268483
1584,1.9687295688139765
1995,1.8391708834471796
2511,1.593527383336704
3162,1.2418236970579586
3981,0.977164969448526
5011,0.7862931264173885
6309,0.7154044087652215
7943,0.6037242070438029
10000,0.5814805909738221
12589,0.49580580488011106
15848,0.4674874167306994
19952,0.4835349300871756
25118,0.45872749428379894
31622,0.4500489840699749
39810,0.4039545978950535
50118,0.32691888808974684
63095,0.2449580317844298
79432,0.16721325041982613
100000,0.19781603668532696
125892,0.21461047564119057
158489,0.23212225701217665
199526,0.24238986559608883
251188,0.23906148761402404
316227,0.22620140295391247
398107,0.2035233513657709
501187,0.18874786022525483
630957,0.16624082110044025
794328,0.1970506102491474
1000000,0.2466862212207341
