iteration,exploitability_for_10_FSP
5,2.138020833333333
10,2.0318287037037033
15,2.176793981481481
25,2.2271412037037037
30,2.3884837962962964
35,2.424768518518518
50,2.300602127425044
60,2.0336215041572183
75,1.9965663580246915
100,1.7023919753086418
125,1.4692802336552335
155,1.314526142948762
195,1.2171732415188297
250,1.0986480898033475
315,1.0231560839683795
395,0.9177943109834132
500,0.8384067924166589
630,0.772915783134937
790,0.700704753991185
1000,0.657452002920845
1255,0.6286020986193068
1580,0.589805874970202
1995,0.5496194109330704
2510,0.4907944764053546
3160,0.3945625690418759
3980,0.33308734335053225
5010,0.2745718840799103
6305,0.2727552688098635
7940,0.23201318731163578
10000,0.20987422890891544
12585,0.2292880041671041
15845,0.2538462708628703
19950,0.25700110974803914
25115,0.2582822960805209
31620,0.2354520891094509
39810,0.20782980998225684
50115,0.16107348127006257
63095,0.13119276276444586
79430,0.1024477779878323
100000,0.0935616624482521
125890,0.08215319962429252
158485,0.09681989336387636
199525,0.11732376605807668
251185,0.12014865658458289
316225,0.12334298359003912
398105,0.11083124452182165
501185,0.08983349984595793
630955,0.07428686035377197
794325,0.06850988117710954
1000000,0.0736211687289202
