iteration,batch_episode_time_for_5_42
20,0.008348941802978516
40,0.0061702728271484375
60,0.00550389289855957
80,0.005423069000244141
100,0.006036996841430664
120,0.0048980712890625
140,0.005692958831787109
160,0.005681753158569336
180,0.006098031997680664
200,0.00644683837890625
220,0.005944013595581055
240,0.0062808990478515625
260,0.00618290901184082
280,0.0057370662689208984
300,0.006246805191040039
320,0.012492179870605469
340,0.00643610954284668
360,0.01026010513305664
380,0.0069310665130615234
400,0.008288860321044922
420,0.005797147750854492
440,0.00678706169128418
460,0.006781816482543945
480,0.006588935852050781
500,0.006345033645629883
520,0.0064449310302734375
540,0.0060460567474365234
560,0.008363008499145508
580,0.007665157318115234
600,0.008034706115722656
620,0.007268190383911133
640,0.006500959396362305
660,0.011738061904907227
680,0.009796857833862305
700,0.014403820037841797
720,0.006647825241088867
740,0.0073049068450927734
760,0.006769895553588867
780,0.008144140243530273
800,0.00882411003112793
820,0.012811899185180664
840,0.0077610015869140625
860,0.00855398178100586
880,0.007125139236450195
900,0.006474971771240234
920,0.007364988327026367
940,0.0074880123138427734
960,0.00931692123413086
980,0.011214256286621094
1000,0.0068280696868896484
1020,0.0070133209228515625
1040,0.006889820098876953
1060,0.008020162582397461
1080,0.007135868072509766
1100,0.007097959518432617
1120,0.006918907165527344
1140,0.00824880599975586
1160,0.006572723388671875
1180,0.007651090621948242
1200,0.007807016372680664
1220,0.007736921310424805
1240,0.007261037826538086
1260,0.006963968276977539
1280,0.021131038665771484
1300,0.008383035659790039
1320,0.007447957992553711
1340,0.006671905517578125
1360,0.007081031799316406
1380,0.012869119644165039
1400,0.006743192672729492
1420,0.013653039932250977
1440,0.00675201416015625
1460,0.012894868850708008
1480,0.007977008819580078
1500,0.007269859313964844
1520,0.009019851684570312
1540,0.014116048812866211
1560,0.013752222061157227
1580,0.02855706214904785
1600,0.03630495071411133
1620,0.016037702560424805
1640,0.01165008544921875
1660,0.009459972381591797
1680,0.009672880172729492
1700,0.011008024215698242
1720,0.009614944458007812
1740,0.010087966918945312
1760,0.009930133819580078
1780,0.008037090301513672
1800,0.016108036041259766
1820,0.007460832595825195
1840,0.007197141647338867
1860,0.0078029632568359375
1880,0.008831977844238281
1900,0.00775599479675293
1920,0.008154153823852539
1940,0.0087738037109375
1960,0.007747173309326172
1980,0.018495798110961914
2000,0.007613182067871094
2020,0.0074040889739990234
2040,0.0072460174560546875
2060,0.00768589973449707
2080,0.008082866668701172
2100,0.011575937271118164
2120,0.1250162124633789
2140,0.008352994918823242
2160,0.01578807830810547
2180,0.007161855697631836
2200,0.010386943817138672
2220,0.006902933120727539
2240,0.006608724594116211
2260,0.007130146026611328
2280,0.007321834564208984
2300,0.0064182281494140625
2320,0.014452934265136719
2340,0.007536172866821289
2360,0.007706165313720703
2380,0.009475946426391602
2400,0.009768009185791016
2420,0.00762486457824707
2440,0.008446931838989258
2460,0.007875204086303711
2480,0.010319948196411133
2500,0.011255979537963867
2520,0.008348226547241211
2540,0.008629083633422852
2560,0.011837959289550781
2580,0.010045289993286133
2600,0.00715327262878418
2620,0.00728297233581543
2640,0.007878780364990234
2660,0.007533073425292969
2680,0.010108232498168945
2700,0.0072650909423828125
2720,0.008339881896972656
2740,0.008033990859985352
2760,0.012341976165771484
2780,0.019655942916870117
2800,0.011233091354370117
2820,0.00762486457824707
2840,0.010734081268310547
2860,0.006999015808105469
2880,0.0077838897705078125
2900,0.008435249328613281
2920,0.015816926956176758
2940,0.007386207580566406
2960,0.007693052291870117
2980,0.007794857025146484
3000,0.013032197952270508
3020,0.008061885833740234
3040,0.00747370719909668
3060,0.008065938949584961
3080,0.011311769485473633
3100,0.01315617561340332
3120,0.007754087448120117
3140,0.010210037231445312
3160,0.012368917465209961
3180,0.007925033569335938
3200,0.008145809173583984
3220,0.007536172866821289
3240,0.00865626335144043
3260,0.006838083267211914
3280,0.01470804214477539
3300,0.02383899688720703
3320,0.0070230960845947266
3340,0.01684284210205078
3360,0.02576303482055664
3380,0.007665157318115234
3400,0.007721900939941406
3420,0.007033109664916992
3440,0.007492780685424805
3460,0.006354808807373047
3480,0.010560035705566406
3500,0.0073468685150146484
3520,0.007929086685180664
3540,0.007452964782714844
3560,0.011349916458129883
3580,0.010751962661743164
3600,0.0074422359466552734
3620,0.008145809173583984
3640,0.0076258182525634766
3660,0.007688045501708984
3680,0.050631046295166016
3700,0.015878915786743164
3720,0.00780797004699707
3740,0.027570009231567383
3760,0.01823711395263672
3780,0.11287760734558105
3800,0.012132883071899414
3820,0.01859879493713379
3840,0.010744810104370117
3860,0.016706228256225586
3880,0.008793830871582031
3900,0.007853031158447266
3920,0.007075071334838867
3940,0.0075109004974365234
3960,0.009813070297241211
3980,0.007730245590209961
4000,0.010426759719848633
4020,0.007763862609863281
4040,0.008907079696655273
4060,0.007754087448120117
4080,0.007835865020751953
4100,0.008247137069702148
4120,0.00786900520324707
4140,0.013562917709350586
4160,0.014737129211425781
4180,0.01341700553894043
