iteration,parallel_batch_episode_time_for_3_42
28,1.286957025527954
56,0.0029261112213134766
84,0.0027408599853515625
112,0.0029277801513671875
140,0.0018510818481445312
168,0.0037877559661865234
196,0.0025169849395751953
224,0.002176046371459961
252,0.002279043197631836
280,0.0019528865814208984
308,0.0018918514251708984
336,0.0035371780395507812
364,0.0024461746215820312
392,0.0026979446411132812
420,0.002259969711303711
448,0.0020532608032226562
476,0.0019750595092773438
504,0.0021429061889648438
532,0.002101898193359375
560,0.002029895782470703
588,0.0022437572479248047
616,0.0028390884399414062
644,0.0020940303802490234
672,0.0019588470458984375
700,0.002312898635864258
728,0.00226593017578125
756,0.002293109893798828
784,0.00189208984375
812,0.0021708011627197266
840,0.002389192581176758
868,0.002092123031616211
896,0.0020308494567871094
924,0.0017821788787841797
952,0.0024340152740478516
980,0.002077341079711914
1008,0.0025839805603027344
1036,0.002234935760498047
1064,0.001947164535522461
1092,0.0020437240600585938
1120,0.0017819404602050781
1148,0.0020270347595214844
1176,0.0020437240600585938
1204,0.0023450851440429688
1232,0.002105236053466797
1260,0.001978158950805664
1288,0.0021429061889648438
1316,0.002189159393310547
1344,0.0020568370819091797
1372,0.001984119415283203
1400,0.0020279884338378906
1428,0.0020177364349365234
1456,0.0019378662109375
1484,0.0019588470458984375
1512,0.0019049644470214844
1540,0.0021610260009765625
1568,0.0019199848175048828
1596,0.0019369125366210938
1624,0.0018281936645507812
1652,0.0019130706787109375
1680,0.002016782760620117
1708,0.0018732547760009766
1736,0.0019519329071044922
1764,0.0018758773803710938
1792,0.002830028533935547
1820,0.0022459030151367188
1848,0.002124786376953125
1876,0.0023441314697265625
1904,0.0019369125366210938
1932,0.001981019973754883
1960,0.002112865447998047
1988,0.0018641948699951172
2016,0.0018410682678222656
2044,0.0019998550415039062
2072,0.001953125
2100,0.0018739700317382812
2128,0.001959085464477539
2156,0.0019659996032714844
2184,0.002008199691772461
2212,0.0019042491912841797
2240,0.0018150806427001953
2268,0.001837015151977539
2296,0.0019719600677490234
2324,0.0019350051879882812
2352,0.0018448829650878906
2380,0.002003908157348633
2408,0.0019099712371826172
2436,0.0018830299377441406
2464,0.002109050750732422
2492,0.0019268989562988281
2520,0.001940011978149414
2548,0.0018701553344726562
2576,0.002063274383544922
2604,0.002123117446899414
2632,0.0020470619201660156
2660,0.0018880367279052734
2688,0.0018489360809326172
2716,0.0019388198852539062
2744,0.0019299983978271484
2772,0.0019159317016601562
2800,0.0019860267639160156
2828,0.0019388198852539062
2856,0.0031991004943847656
