iteration,exploitability_for_42_dqn
1,3.476041666666668
3,3.476041666666668
5,3.476041666666668
10,3.476041666666668
17,3.476041666666668
31,3.2103883861259126
56,3.20916850726863
100,3.199917572299175
177,3.146631264251476
316,3.027999617538627
562,2.849848192860272
1000,2.639396665305411
1778,2.0518972713748984
3162,0.9269457859242558
5623,0.6201151015004794
10000,0.6503858879984865
17782,0.7446441377168276
31622,0.8495291968696261
56234,0.6210781246683263
100000,0.40402751709658535
177827,0.26701484967899425
316227,0.11724310857282264
562341,0.07468867886795816
1000000,0.07721162205153558
