iteration,exploitability_for_10_outcome_sampling_MCCFR
1,3.476041666666668
2,3.1684895833333346
3,3.1997395833333346
5,3.2681336805555565
6,3.159744698660715
7,3.11283438388022
10,2.999735325388079
12,2.931086425252441
15,2.848468305323756
19,2.8010330843768854
25,2.5857793418479993
31,2.492074024879992
39,2.3982085607353056
50,2.102195387333653
63,1.960736746413049
79,1.944145530352948
100,1.875001449820773
125,1.6631344780935449
158,1.5385301520668497
199,1.42595392938353
251,1.347195970009543
316,1.312354712196914
398,1.2592370001967148
501,1.1955735889989578
630,1.1099569406109717
794,0.9928885744241057
1000,0.8792488214508973
1258,0.8052155227560777
1584,0.7505963775466218
1995,0.6908355570351943
2511,0.5857475951511462
3162,0.5098700201592142
3981,0.46383246688866925
5011,0.4297746656438537
6309,0.3299151602826018
7943,0.2944548076650613
10000,0.25183878379498037
12589,0.24104055242055822
15848,0.20979141212283328
19952,0.1462911446939933
25118,0.1172553917797132
31622,0.14394765160734252
39810,0.10750812945682517
50118,0.1056332774599685
63095,0.08057368224840875
79432,0.06724203830118125
100000,0.07424217391453536
125892,0.05822303454110432
158489,0.06159734576163668
199526,0.047771302219412226
251188,0.04432861434261084
316227,0.0411349297335549
398107,0.04453067494711729
501187,0.03970543099199444
630957,0.03880894088004739
794328,0.0354841759568457
1000000,0.035044141575074815
