iteration,exploitability_for_1_dqn
1,3.32119571232822
2,3.32119571232822
3,3.32119571232822
5,3.32119571232822
6,3.32119571232822
7,3.32119571232822
10,3.32119571232822
12,3.32119571232822
15,3.32119571232822
19,3.32119571232822
25,3.32119571232822
31,3.3210033626069158
39,3.3210033626069158
50,3.3210033626069158
63,3.3033338926919713
79,3.3033338926919713
100,3.2792338271245045
125,3.252479910596577
158,3.224352286722111
199,3.1665555887014682
251,3.13678430032795
316,3.0492032402749087
398,2.973103628983931
501,2.9027034203866156
630,2.8069956237302773
794,2.7241799958175337
1000,2.6464383350911054
1258,2.5269905034204143
1584,2.2902322091991087
1995,1.9312111540865595
2511,1.444236367671629
3162,1.0829048522571205
3981,0.8883937764981441
5011,0.7743704079550242
6309,0.7518999698291884
7943,0.6288897980169428
10000,0.5151096392520912
12589,0.4566788468460642
15848,0.46032468005770144
19952,0.5116074474229092
25118,0.6449098112099749
31622,0.9050915040101983
39810,0.7880256744307007
50118,0.6279897755543546
63095,0.491934311502089
79432,0.37135788013100535
100000,0.2898184036296043
125892,0.21656899773108815
158489,0.15443954335190976
199526,0.16507372734761205
251188,0.12034914061330404
316227,0.08641530213391152
398107,0.0739378790987316
501187,0.08275671133776732
630957,0.06356096794987728
794328,0.0668078186881824
1000000,0.06488186995130824
