iteration,exploitability_for_42_FSP
1,3.405025077160494
3,3.2679282407407415
5,3.2225945216049396
10,3.052246961805557
17,2.873697337962964
31,2.5022784896751915
56,2.1398783181636847
100,1.5977026905155038
177,1.2658315707023893
316,0.9677538714508904
562,0.7396731434387803
1000,0.7081957068592939
1778,0.7436260222444707
3162,0.7591249139046223
5623,0.6025970481899504
10000,0.4015603833410088
17782,0.2709824082145505
31622,0.19843404690159847
56234,0.21348083948347113
100000,0.22493153911525704
177827,0.21735896349575565
316227,0.19812581019843462
562341,0.1826814566669142
1000000,0.16131288247742326
