iteration,exploitability_for_100_FSP
6,3.4930844907407415
12,3.499131944444445
18,3.4456002443415645
24,3.4429333847736636
30,3.368777327674898
36,3.293065307784638
48,3.129434799382717
60,3.3097061471193427
78,3.219401523919754
96,3.106399356995885
120,2.6989531709288648
156,2.5762622701515454
198,2.3033518580035373
246,2.1441905719783403
312,1.9716157645175212
396,1.7827140855496022
498,1.662839369859589
630,1.5606374362181228
792,1.4603596447551928
996,1.3686907793168295
1254,1.2104466112783412
1584,1.0656889042875866
1992,0.9085746941674023
2508,0.8729019945714098
3162,0.845978111512953
3978,0.861913993087195
5010,0.781742587662392
6306,0.723323445955015
7938,0.6336057453742565
9996,0.6052983509988328
12588,0.5035186665042195
15846,0.44511714511392164
19950,0.33140586038854936
25116,0.29891305256412604
31620,0.24543151792104767
39810,0.2396013902478735
50118,0.23356474513244851
63090,0.22746334971483312
79428,0.22570286374998838
99996,0.21392581132164787
125892,0.19287495713363223
158484,0.18176959610223925
199524,0.1686043811488914
251184,0.15374683835427322
316224,0.15490907761302003
398106,0.15977422310637213
501186,0.15566533455411377
630954,0.15335214290994154
794328,0.15335327503455087
999996,0.15143576577871065
