iteration,exploitability_for_1_outcome_sampling_MCCFR
1,3.5346354166666676
2,3.2597656250000004
3,3.0143787202380956
5,2.9871395089285726
6,3.0573869047619056
7,2.8136015625000006
10,2.8943799189814827
12,2.685477890900081
15,2.6219681727781223
19,2.329437921721477
25,2.1344976124502217
31,2.085155018550872
39,1.961490996705029
50,1.862883680850502
63,1.7574665621997279
79,1.5168435081090998
100,1.4564251683808367
125,1.4119352137755024
158,1.3802253131415754
199,1.3167187764166506
251,1.3028165914200978
316,1.3074339008093077
398,1.2796190929416764
501,1.1888930766914187
630,1.1059136155357159
794,0.9625174402224054
1000,0.8763321533611086
1258,0.8121283054659677
1584,0.7859344165838533
1995,0.7254334821908872
2511,0.6670041202384489
3162,0.5714625601702075
3981,0.50026569235663
5011,0.3808939953497026
6309,0.3622158923627795
7943,0.36785384049171344
10000,0.34139713155508505
12589,0.2889470397947205
15848,0.23076898174969374
19952,0.20255269337691428
25118,0.18390065711419445
31622,0.12142857137439712
39810,0.10565377637696521
50118,0.09239158714229737
63095,0.0912406513595613
79432,0.08491376214510335
100000,0.07375457014453245
125892,0.06818157188778214
158489,0.055388840625391844
199526,0.05713446560889191
251188,0.055913117110850126
316227,0.04948106490749006
398107,0.05110733573541477
501187,0.04568133025446647
630957,0.04155141720407412
794328,0.07554737889514543
1000000,0.07192053512745768
