iteration,exploitability_for_10_sql
1,3.6217351810812497
2,3.6217351810812497
3,3.6217351810812497
5,3.6217351810812497
6,3.6217351810812497
7,3.6217351810812497
10,3.6217351810812497
12,3.6217351810812497
15,3.6217351810812497
19,3.6217351810812497
25,3.6217351810812497
31,3.6527381355605772
39,3.6527381355605772
50,3.6527381355605772
63,3.6662260999231546
79,3.6662260999231546
100,3.6627621717375867
125,3.6459304870701716
158,3.619659863300909
199,3.5485835568180306
251,3.4677400050290097
316,3.389376479246754
398,3.2741296980451837
501,3.1535275923942594
630,3.0383831589246193
794,2.9028497453164297
1000,2.7705763567758446
1258,2.653485414912167
1584,2.479958030548149
1995,2.204806036545744
2511,1.759251066385397
3162,1.2859388574785302
3981,0.9591664106405118
5011,0.8175924018728598
6309,0.7918939768341178
7943,0.6318292994281819
10000,0.6013837094669315
12589,0.5564679585759829
15848,0.5527543778830178
19952,0.5872387314738349
25118,0.7199038853033545
31622,0.790952124820874
39810,0.726420508249809
50118,0.5768382768488444
63095,0.4725582511724614
79432,0.3427572839633493
100000,0.3164089878558919
125892,0.2639210413374796
158489,0.19740249675777785
199526,0.1277057586603233
251188,0.11944253898467178
316227,0.10901744678322295
398107,0.08203225889454138
501187,0.09366707812141373
630957,0.08379443357493688
794328,0.0678563145329597
1000000,0.07049088771160769
