iteration,exploitability_for_100_sql
0,3.5133575772947063
20,3.4835839671340816
40,3.468936089375861
60,3.455838772407089
100,3.4280966833277
120,3.4109486353763505
140,3.39036448220246
180,3.3422858593966183
240,3.26689025918797
300,3.1966084653353644
380,3.1058405118099452
500,2.969847458548519
620,2.855306111632536
780,2.7134849917609767
1000,2.5103884829314467
1240,2.244716912797857
1580,1.7690284438160047
1980,1.2786945018798388
2500,0.8848157833307441
3160,0.7911562069539875
3980,0.6795271115633046
5000,0.6312065025662351
6300,0.5904035533681715
7940,0.529051121985647
10000,0.6255130109483208
12580,0.7382733484656969
15840,0.6506405136540749
19940,0.9664230605080153
25100,1.2135414673523786
31620,0.8594265802215116
39800,0.7750568619167958
50100,0.5906630247260662
63080,0.4410150516924729
79420,0.4206514132452757
100000,0.3273636593054506
125880,0.31920867481741005
158480,0.2762126875516093
199520,0.20961251747509596
251180,0.22230767352049102
316220,0.1524657449088021
398100,0.1219720946404382
501180,0.10596545037005448
630940,0.10823019582911292
794320,0.07642547036838654
1000000,0.07542405572822758
