iteration,exploitability_for_42_outcome_sampling_MCCFR
1,3.376822916666668
2,3.070833333333336
3,3.070833333333336
5,3.1989322916666683
6,3.1989322916666683
7,3.3257661354228287
10,3.110887065951018
12,3.0509328743069366
15,3.0838372835596095
19,3.0874931140011865
25,2.915719693007154
31,2.4519370825999327
39,2.348290973825455
50,2.13703526886106
63,2.0545698350977384
79,1.725157648679914
100,1.6446407607767117
125,1.5784827650070574
158,1.563279893285374
199,1.4257507259213553
251,1.392044024403841
316,1.3415630111899808
398,1.2969055805862368
501,1.2053540834727454
630,1.1281033615932552
794,1.078009591049609
1000,1.040302362762278
1258,0.9153419508962798
1584,0.7899665461550193
1995,0.6846505803601688
2511,0.6175939729054386
3162,0.5327265028812778
3981,0.46203850868616886
5011,0.43090099475356
6309,0.4203531048355439
7943,0.4250955882178459
10000,0.273017899429183
12589,0.2324046204427466
15848,0.2152128509698184
19952,0.1938927391334786
25118,0.15538560281330582
31622,0.13949856588876428
39810,0.1085583388349701
50118,0.12294567894782533
63095,0.08789408724067557
79432,0.09444716626325525
100000,0.06027232643644587
125892,0.06101247001455737
158489,0.06449689311497717
199526,0.05216785621186514
251188,0.054000724602049965
316227,0.05088138975210741
398107,0.04818547390883855
501187,0.042313209997628026
630957,0.035873927750677714
794328,0.03100324413860914
1000000,0.025317942674414288
