iteration,exploitability_for_100_sql
1,3.5133575772947063
2,3.5133575772947063
3,3.5133575772947063
5,3.5133575772947063
6,3.5133575772947063
7,3.5133575772947063
10,3.5133575772947063
12,3.5133575772947063
15,3.5133575772947063
19,3.5133575772947063
25,3.5133575772947063
31,3.482809217567678
39,3.482809217567678
50,3.482809217567678
63,3.451221745202544
79,3.451221745202544
100,3.418993290675572
125,3.3859283945325047
158,3.3541928317520044
199,3.2901218750420353
251,3.235295179301034
316,3.1809193630857173
398,3.096820226098111
501,2.992755651503568
630,2.907205308591693
794,2.7896769360291267
1000,2.6565312939731056
1258,2.5357873852833333
1584,2.330412098602134
1995,2.017850663874427
2511,1.4907900217853634
3162,0.9353586810539642
3981,0.7646999504963783
5011,0.6897020134486083
6309,0.6180565304703604
7943,0.5793858609474236
10000,0.5157101956255735
12589,0.567186372724642
15848,0.5801876441514882
19952,0.6481050226214125
25118,0.9632153728896473
31622,0.8392542959839575
39810,0.7411748124282668
50118,0.5881236354860077
63095,0.4398495215954895
79432,0.35614938665959184
100000,0.28381968305194044
125892,0.22340283364988103
158489,0.16057328899411422
199526,0.16674174401315017
251188,0.14052734433953784
316227,0.08526137975967553
398107,0.0719983890518788
501187,0.07811727368381327
630957,0.06807162001315709
794328,0.07613990247326793
1000000,0.08409377626823356
