iteration,exploitability_for_10_chance_sampling_CFR
1,3.476041666666668
2,3.4243489583333346
3,3.4243489583333346
5,3.4106933593750024
6,3.210235280946873
7,2.8376633563436973
10,2.5464197889683464
12,2.2901592049483765
15,1.9583963712500512
19,1.7838291469890182
25,1.3304622208416894
31,1.1934601059646266
39,1.065862590771736
50,0.8759625088005776
63,0.7153144736710648
79,0.6247009350330632
100,0.5850522746380056
125,0.5607618295854989
158,0.5011074089857741
199,0.4095107904237803
251,0.29147856820197016
316,0.24823981904489328
398,0.24582218125237856
501,0.25694067048593466
630,0.21341992121594375
794,0.17050827275881097
1000,0.14765195349718413
1258,0.14532538973110873
1584,0.1453264797125711
1995,0.12754325077117967
2511,0.08640097818771314
3162,0.09175864016352192
3981,0.06377928927946502
5011,0.07627804555505195
6309,0.0702382014864697
7943,0.06555740954295514
10000,0.030244495768100562
12589,0.03535699099258794
15848,0.027504103480623997
19952,0.027861386307484512
25118,0.03567780702767423
31622,0.0319418870504924
39810,0.023378601989372652
50118,0.01913017213601853
63095,0.01758069839674699
79432,0.01583122237336965
100000,0.011740279668901246
125892,0.009772151981014235
158489,0.008213246344483283
199526,0.008144704210366619
251188,0.0057741781322149036
316227,0.006360456712216696
398107,0.004086261652902837
501187,0.004276688775750513
630957,0.0030729127646043908
794328,0.0032370180444175473
1000000,0.003798388537128272
