iteration,exploitability_for_42_sql
1,3.2028259273876496
2,3.2028259273876496
3,3.2028259273876496
5,3.2028259273876496
6,3.2028259273876496
7,3.2028259273876496
10,3.2028259273876496
12,3.2028259273876496
15,3.2028259273876496
19,3.2028259273876496
25,3.2028259273876496
31,3.218581694788909
39,3.218581694788909
50,3.218581694788909
63,3.239112224966225
79,3.239112224966225
100,3.263916601220765
125,3.290218835352639
158,3.3175286153843504
199,3.3794173215369616
251,3.4471150741927823
316,3.511226475639339
398,3.594177249664512
501,3.6731666212960707
630,3.7523075294196078
794,3.801720042415449
1000,3.7741820328030244
1258,3.601372475533185
1584,3.3375897102637824
1995,2.845270406500437
2511,2.209428965753826
3162,1.5569877448717973
3981,1.1930079056047251
5011,1.0728070197657353
6309,0.8706171290837535
7943,0.7555437617674905
10000,0.6558855267162107
12589,0.6130416937397972
15848,0.6365496761466958
19952,0.6613060012489517
25118,0.6704408524715835
31622,0.8514360440015076
39810,0.7073036908103677
50118,0.5278936517000516
63095,0.7436776266620133
79432,0.9344260158201119
100000,0.6846845213593172
125892,0.5713419867547254
158489,0.7554051312674177
199526,0.7071717458309646
251188,0.809610859439361
316227,0.7206881414801389
398107,0.664515664842593
501187,0.644922475706404
630957,0.6250439046425746
794328,0.588194983929869
1000000,0.5804755366822811
