iteration,exploitability_for_100_chance_sampling_CFR
1,3.476041666666668
2,3.476041666666668
3,3.329036458333335
5,3.1735677083333353
6,3.123828125000002
7,2.8840657552083346
10,2.4043710214120377
12,2.160474838445216
15,2.0325807688134345
19,1.7618780039880448
25,1.3859580030997378
31,1.1918272045403433
39,0.9555965423590351
50,0.7789588737999483
63,0.6524363212269126
79,0.5298702567253901
100,0.4582316761868801
125,0.37914744057919836
158,0.36735383505784225
199,0.35109493223375704
251,0.389104956868192
316,0.37436738957500837
398,0.30576263563574946
501,0.2451424699780667
630,0.19738146465971737
794,0.1436803710796062
1000,0.14353532226186666
1258,0.11332224273613069
1584,0.09234914911582023
1995,0.08182085649872403
2511,0.07798321734468691
3162,0.0638185399038495
3981,0.04855601759232089
5011,0.0461956330780098
6309,0.04239815017849983
7943,0.03939925410969525
10000,0.041094277733133844
12589,0.024339158838068614
15848,0.027558181315227515
19952,0.030261429484721696
25118,0.019298639322695092
31622,0.021474964582251076
39810,0.019703406998914954
50118,0.011635986078250511
63095,0.015126943476278347
79432,0.01129603059297063
100000,0.010866392910480943
125892,0.0076543105760913666
158489,0.007128546249312306
199526,0.007952191523670951
251188,0.005746720691270857
316227,0.004716814176915489
398107,0.0048029801659564
501187,0.0035615342717321558
630957,0.003768582511848681
794328,0.0035664053246030614
1000000,0.0038786456737036346
